OrderDate,TotalQuantity,DistinctOrders
2018-03-31,49,3
2018-04-01,63,2
2018-04-02,603,25
2018-04-03,269,16
2018-04-04,267,11
2018-04-05,190,9
2018-04-06,159,9
2018-04-07,256,10
2018-04-08,474,26
2018-04-09,75,3
2018-04-10,276,12
2018-04-11,160,9
2018-04-12,500,22
2018-04-13,256,10
2018-04-14,95,5
2018-04-15,108,5
2018-04-16,514,24
2018-04-17,75,3
2018-04-18,451,22
2018-04-19,123,8
2018-04-20,265,15
2018-04-21,366,16
2018-04-22,333,14
2018-04-23,61,3
2018-04-24,309,17
2018-04-25,456,20
2018-04-26,223,11
2018-04-27,88,6
2018-04-28,354,16
2018-04-29,306,12
2018-04-30,241,11
2018-05-01,63,3
2018-05-02,326,15
2018-05-03,230,9
2018-05-04,367,17
2018-05-05,374,20
2018-05-06,199,10
2018-05-07,192,9
2018-05-08,391,21
2018-05-09,143,8
2018-05-10,512,25
2018-05-11,471,18
2018-05-12,143,8
2018-05-13,386,16
2018-05-14,262,13
2018-05-15,53,2
2018-05-16,277,16
2018-05-17,198,11
2018-05-18,106,3
2018-05-19,261,11
2018-05-20,313,13
2018-05-21,299,14
2018-05-22,80,5
2018-05-23,34,3
2018-05-24,110,3
2018-05-25,109,6
2018-05-26,434,19
2018-05-27,43,4
2018-05-28,273,12
2018-05-29,16,1
2018-05-30,160,10
2018-05-31,388,17
2018-06-01,190,7
2018-06-02,225,11
2018-06-03,89,8
2018-06-04,314,9
2018-06-05,466,22
2018-06-06,260,15
2018-06-07,222,15
2018-06-08,43,2
2018-06-09,543,24
2018-06-10,450,24
2018-06-11,293,13
2018-06-12,216,11
2018-06-13,105,3
2018-06-14,508,24
2018-06-15,300,12
2018-06-16,245,13
2018-06-17,53,3
2018-06-18,209,9
2018-06-19,470,24
2018-06-20,69,5
2018-06-21,243,11
2018-06-22,411,25
2018-06-23,156,6
2018-06-24,105,10
2018-06-25,269,16
2018-06-26,164,7
2018-06-27,5,1
2018-06-28,498,20
2018-06-29,123,6
2018-06-30,167,11
2018-07-01,193,10
2018-07-02,320,16
2018-07-03,300,18
2018-07-04,516,25
2018-07-05,352,16
2018-07-06,101,6
2018-07-07,488,20
2018-07-08,792,29
2018-07-09,120,6
2018-07-10,402,24
2018-07-11,229,11
2018-07-12,380,15
2018-07-13,572,25
2018-07-14,117,6
2018-07-15,278,10
2018-07-16,3,1
2018-07-17,504,21
2018-07-18,505,27
2018-07-19,211,8
2018-07-20,36,2
2018-07-21,64,3
2018-07-22,346,14
2018-07-23,271,17
2018-07-24,412,20
2018-07-25,143,8
2018-07-26,601,26
2018-07-27,93,3
2018-07-28,603,28
2018-07-29,472,20
2018-07-30,218,11
2018-07-31,21,1
2018-08-01,65,2
2018-08-02,377,23
2018-08-03,257,10
2018-08-04,365,23
2018-08-05,114,7
2018-08-06,434,21
2018-08-07,77,4
2018-08-08,377,22
2018-08-09,375,17
2018-08-10,104,5
2018-08-11,553,26
2018-08-12,39,3
2018-08-13,359,19
2018-08-14,353,14
2018-08-15,603,25
2018-08-16,367,18
2018-08-17,348,16
2018-08-18,290,14
2018-08-19,25,1
2018-08-20,517,27
2018-08-21,566,26
2018-08-22,78,5
2018-08-23,263,9
2018-08-24,459,26
2018-08-25,49,3
2018-08-26,536,28
2018-08-27,481,24
2018-08-28,251,9
2018-08-29,158,7
2018-08-30,607,23
2018-08-31,378,13
2018-09-01,317,19
2018-09-02,274,12
2018-09-03,431,21
2018-09-04,106,4
2018-09-05,247,10
2018-09-06,456,22
2018-09-07,419,18
2018-09-08,576,28
2018-09-10,95,4
2018-09-11,290,15
2018-09-12,430,22
2018-09-13,329,19
2018-09-14,528,21
2018-09-15,444,21
2018-09-16,493,27
2018-09-17,203,12
2018-09-18,269,12
2018-09-19,356,18
2018-09-20,187,10
2018-09-21,361,17
2018-09-22,558,26
2018-09-23,190,8
2018-09-25,249,15
2018-09-26,296,14
2018-09-27,269,14
2018-09-28,517,20
2018-09-29,131,10
2018-09-30,177,9
2018-10-01,322,20
2018-10-02,186,13
2018-10-03,340,18
2018-10-04,320,16
2018-10-05,409,19
2018-10-06,540,23
2018-10-07,557,27
2018-10-08,53,6
2018-10-09,338,16
2018-10-10,36,5
2018-10-11,411,17
2018-10-12,30,1
2018-10-13,608,27
2018-10-14,255,12
2018-10-15,45,2
2018-10-16,313,14
2018-10-17,460,23
2018-10-18,349,17
2018-10-19,131,7
2018-10-20,70,4
2018-10-21,499,25
2018-10-22,454,20
2018-10-23,467,25
2018-10-24,202,11
2018-10-25,435,21
2018-10-26,473,20
2018-10-27,150,8
2018-10-28,126,11
2018-10-29,573,27
2018-10-30,2,1
2018-10-31,325,12
2018-11-01,414,18
2018-11-02,464,24
2018-11-03,328,18
2018-11-04,54,4
2018-11-05,538,18
2018-11-06,336,19
2018-11-07,319,17
2018-11-08,292,20
2018-11-09,538,24
2018-11-10,257,14
2018-11-11,255,16
2018-11-12,151,8
2018-11-13,180,9
2018-11-14,315,18
2018-11-15,490,20
2018-11-16,591,22
2018-11-17,477,20
2018-11-18,446,25
2018-11-19,458,19
2018-11-20,534,26
2018-11-21,316,13
2018-11-22,321,15
2018-11-23,91,2
2018-11-24,448,25
2018-11-25,482,21
2018-11-26,242,14
2018-11-27,376,21
2018-11-28,344,19
2018-11-29,366,19
2018-11-30,485,25
2018-12-01,3,1
2018-12-02,115,8
2018-12-03,392,24
2018-12-04,221,11
2018-12-05,192,8
2018-12-06,659,29
2018-12-07,221,10
2018-12-08,127,7
2018-12-09,85,7
2018-12-10,622,26
2018-12-11,268,10
2018-12-12,428,15
2018-12-13,154,6
2018-12-14,325,24
2018-12-15,165,7
2018-12-16,397,19
2018-12-17,506,26
2018-12-18,473,29
2018-12-19,58,2
2018-12-20,388,18
2018-12-21,106,4
2018-12-22,91,6
2018-12-23,501,25
2018-12-24,226,9
2018-12-25,541,27
2018-12-26,194,12
2018-12-27,359,20
2018-12-28,59,4
2018-12-29,379,18
2018-12-30,536,24
2018-12-31,450,24
2019-01-01,215,11
2019-01-02,308,12
2019-01-03,253,10
2019-01-04,208,9
2019-01-05,491,26
2019-01-06,280,13
2019-01-07,338,17
2019-01-08,166,11
2019-01-09,173,10
2019-01-10,27,2
2019-01-11,81,6
2019-01-12,420,22
2019-01-13,605,27
2019-01-14,169,7
2019-01-15,215,10
2019-01-16,270,13
2019-01-17,594,26
2019-01-18,26,2
2019-01-19,171,9
2019-01-20,289,14
2019-01-21,327,16
2019-01-22,443,26
2019-01-23,630,27
2019-01-24,129,6
2019-01-25,459,26
2019-01-26,149,7
2019-01-27,431,23
2019-01-28,333,19
2019-01-29,278,14
2019-01-30,251,13
2019-01-31,191,10
2019-02-01,80,7
2019-02-02,380,20
2019-02-03,2,1
2019-02-04,68,3
2019-02-05,197,13
2019-02-06,450,18
2019-02-07,275,16
2019-02-08,147,5
2019-02-09,413,19
2019-02-10,20,1
2019-02-11,57,2
2019-02-12,352,22
2019-02-13,444,20
2019-02-14,141,5
2019-02-15,457,19
2019-02-16,198,8
2019-02-17,466,22
2019-02-18,517,26
2019-02-19,229,6
2019-02-20,271,13
2019-02-21,220,9
2019-02-22,641,25
2019-02-23,174,6
2019-02-24,327,15
2019-02-25,220,11
2019-02-26,519,23
2019-02-27,344,17
2019-02-28,204,11
2019-03-01,30,2
2019-03-02,216,13
2019-03-03,187,8
2019-03-04,487,26
2019-03-05,49,2
2019-03-06,460,19
2019-03-07,354,16
2019-03-08,542,26
2019-03-09,157,5
2019-03-10,429,17
2019-03-11,294,11
2019-03-12,155,8
2019-03-13,196,8
2019-03-14,89,5
2019-03-15,430,21
2019-03-16,19,3
2019-03-17,49,2
2019-03-18,311,16
2019-03-19,295,17
2019-03-20,180,6
2019-03-21,21,2
2019-03-22,85,5
2019-03-23,488,24
2019-03-24,326,16
2019-03-25,38,4
2019-03-26,152,9
2019-03-27,200,14
2019-03-28,483,18
2019-03-29,573,26
2019-03-30,33,1
2019-03-31,43,2
2019-04-01,335,20
2019-04-02,291,12
2019-04-03,485,18
2019-04-04,65,3
2019-04-05,185,12
2019-04-06,442,20
2019-04-07,367,18
2019-04-08,84,6
2019-04-09,49,2
2019-04-10,269,14
2019-04-11,153,9
2019-04-12,283,17
2019-04-13,66,4
2019-04-14,344,17
2019-04-15,285,15
2019-04-16,252,12
2019-04-17,13,2
2019-04-18,88,3
2019-04-19,371,20
2019-04-20,267,14
2019-04-21,95,7
2019-04-22,73,3
2019-04-23,213,8
2019-04-24,217,10
2019-04-25,226,10
2019-04-26,267,10
2019-04-27,213,12
2019-04-28,70,4
2019-04-29,138,6
2019-04-30,581,29
2019-05-01,167,6
2019-05-02,74,4
2019-05-04,618,26
2019-05-05,362,18
2019-05-06,199,10
2019-05-07,619,26
2019-05-08,228,11
2019-05-09,405,18
2019-05-10,477,24
2019-05-11,204,9
2019-05-12,201,8
2019-05-13,163,6
2019-05-14,474,29
2019-05-15,285,17
2019-05-16,482,25
2019-05-17,118,3
2019-05-18,37,2
2019-05-19,34,1
2019-05-20,567,26
2019-05-21,342,11
2019-05-22,474,22
2019-05-23,135,8
2019-05-24,347,16
2019-05-25,356,17
2019-05-26,268,12
2019-05-27,79,3
2019-05-28,382,18
2019-05-29,187,10
2019-05-30,506,21
2019-05-31,14,1
2019-06-01,680,28
2019-06-02,572,24
2019-06-03,206,8
2019-06-04,534,22
2019-06-05,524,24
2019-06-06,144,6
2019-06-07,337,14
2019-06-08,360,17
2019-06-09,345,12
2019-06-10,111,6
2019-06-11,517,23
2019-06-12,420,24
2019-06-13,480,26
2019-06-14,143,7
2019-06-15,591,22
2019-06-16,146,5
2019-06-17,167,5
2019-06-18,139,5
2019-06-19,423,24
2019-06-20,553,28
2019-06-21,139,10
2019-06-22,440,25
2019-06-23,310,16
2019-06-24,271,15
2019-06-25,426,27
2019-06-26,563,28
2019-06-27,283,13
2019-06-28,124,6
2019-06-29,459,21
2019-06-30,436,22
2019-07-01,393,22
2019-07-02,237,14
2019-07-03,255,9
2019-07-04,337,14
2019-07-05,651,26
2019-07-06,84,6
2019-07-07,252,15
2019-07-08,387,24
2019-07-09,405,21
2019-07-10,416,22
2019-07-11,132,7
2019-07-12,424,21
2019-07-13,307,16
2019-07-14,107,6
2019-07-15,102,3
2019-07-16,41,3
2019-07-17,343,15
2019-07-18,346,12
2019-07-19,444,21
2019-07-20,44,3
2019-07-21,347,13
2019-07-22,304,13
2019-07-23,507,23
2019-07-24,254,10
2019-07-25,463,21
2019-07-26,128,6
2019-07-27,498,23
2019-07-28,479,24
2019-07-29,421,21
2019-07-30,198,13
2019-07-31,704,30
2019-08-01,383,19
2019-08-02,186,9
2019-08-03,233,12
2019-08-04,381,15
2019-08-05,425,22
2019-08-06,430,20
2019-08-07,200,9
2019-08-08,513,24
2019-08-09,304,16
2019-08-10,53,3
2019-08-11,540,21
2019-08-12,356,20
2019-08-13,291,14
2019-08-14,410,19
2019-08-15,139,7
2019-08-16,478,26
2019-08-17,37,2
2019-08-18,121,5
2019-08-19,346,19
2019-08-20,527,23
2019-08-21,422,20
2019-08-22,423,20
2019-08-23,261,13
2019-08-24,616,29
2019-08-25,256,12
2019-08-26,272,15
2019-08-27,545,23
2019-08-28,473,21
2019-08-29,33,1
2019-08-30,42,1
2019-08-31,397,15
2019-09-01,556,24
2019-09-02,248,11
2019-09-03,386,18
2019-09-04,162,7
2019-09-05,92,5
2019-09-06,487,26
2019-09-07,580,25
2019-09-08,243,13
2019-09-09,205,7
2019-09-10,38,3
2019-09-11,498,25
2019-09-12,235,17
2019-09-13,526,23
2019-09-14,75,2
2019-09-15,269,12
2019-09-16,1,1
2019-09-17,97,4
2019-09-18,334,17
2019-09-19,235,12
2019-09-20,454,26
2019-09-21,429,22
2019-09-22,676,26
2019-09-23,306,14
2019-09-24,568,27
2019-09-25,296,12
2019-09-26,288,16
2019-09-27,275,10
2019-09-28,74,4
2019-09-29,129,8
2019-09-30,253,12
2019-10-01,573,24
2019-10-02,76,4
2019-10-03,502,23
2019-10-04,195,10
2019-10-05,188,9
2019-10-06,427,20
2019-10-07,202,7
2019-10-08,58,2
2019-10-09,172,12
2019-10-10,560,25
2019-10-11,99,4
2019-10-12,59,5
2019-10-13,308,15
2019-10-14,329,17
2019-10-15,40,1
2019-10-17,213,12
2019-10-18,286,12
2019-10-19,225,16
2019-10-20,122,5
2019-10-21,395,23
2019-10-22,131,7
2019-10-23,306,16
2019-10-24,86,7
2019-10-25,201,9
2019-10-26,119,7
2019-10-27,483,22
2019-10-28,76,6
2019-10-29,569,26
2019-10-30,497,22
2019-10-31,225,9
2019-11-01,566,24
2019-11-02,595,27
2019-11-03,245,12
2019-11-04,345,15
2019-11-05,350,16
2019-11-06,379,19
2019-11-07,345,14
2019-11-08,305,9
2019-11-09,380,18
2019-11-10,538,26
2019-11-11,295,18
2019-11-12,173,12
2019-11-13,615,27
2019-11-14,1,1
2019-11-15,40,3
2019-11-16,141,8
2019-11-17,235,16
2019-11-18,541,26
2019-11-19,205,14
2019-11-20,487,29
2019-11-21,356,17
2019-11-22,274,15
2019-11-23,67,3
2019-11-24,218,12
2019-11-25,600,27
2019-11-26,96,4
2019-11-27,328,14
2019-11-28,23,1
2019-11-29,254,13
2019-11-30,167,10
2019-12-01,462,19
2019-12-02,58,5
2019-12-03,332,20
2019-12-04,270,13
2019-12-05,40,1
2019-12-06,412,24
2019-12-07,412,20
2019-12-08,384,17
2019-12-09,324,14
2019-12-10,114,6
2019-12-11,11,2
2019-12-12,248,11
2019-12-13,465,21
2019-12-14,164,6
2019-12-15,393,17
2019-12-16,48,2
2019-12-17,169,7
2019-12-18,425,23
2019-12-19,296,11
2019-12-20,509,25
2019-12-21,160,5
2019-12-22,490,24
2019-12-23,2,1
2019-12-24,259,12
2019-12-25,165,9
2019-12-26,236,9
2019-12-27,546,26
2019-12-28,77,4
2019-12-29,28,1
2019-12-30,214,8
2019-12-31,6,1
2020-01-01,460,17
2020-01-02,565,26
2020-01-03,393,15
2020-01-04,194,8
2020-01-05,424,18
2020-01-06,72,3
2020-01-07,497,24
2020-01-08,289,11
2020-01-09,175,8
2020-01-10,517,23
